X1,id,species,date,total_mgdmper_ind_per_species_per_date,prey_taxon,X,loc,sample,method,length_mm,total,notes,number,prey_mg_dm,mg_diet_dm,mgdm01,date2,prey_mg_inverse
14,1001,bluegill,2017-06-23,24.961,corixidae_unknown,1,below,lavage,lavage,81,90,NA,63,0.01,0.63,0.64,2017-06-23,100
15,1001,bluegill,2017-06-23,24.961,spider_unknown,1,below,lavage,lavage,81,90,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
16,1001,bluegill,2017-06-23,24.961,chiro_p,1,below,lavage,lavage,81,90,NA,11,0.85,9.35,9.36,2017-06-23,1.1764705882352942
17,1001,bluegill,2017-06-23,24.961,zooplankton_unknown,1,below,lavage,lavage,81,90,NA,1,0.001,0.001,0.011,2017-06-23,1000
18,1001,bluegill,2017-06-23,24.961,seed_unknown,1,below,lavage,lavage,81,90,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
19,1002,bluegill,2017-06-23,16.01,hemiptera_unknown,2,below,lavage,lavage,84,119,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
20,1002,bluegill,2017-06-23,16.01,corixidae_unknown,2,below,lavage,lavage,84,119,NA,103,0.01,1.03,1.04,2017-06-23,100
21,1002,bluegill,2017-06-23,16.01,ephemeroptera_unknown,2,below,lavage,lavage,84,119,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
22,1002,bluegill,2017-06-23,16.01,chiro_l,2,below,lavage,lavage,84,119,NA,8,1.04,8.32,8.33,2017-06-23,0.9615384615384615
23,1002,bluegill,2017-06-23,16.01,unidentified_unknown,2,below,lavage,lavage,84,119,NA,1,0.71,0.71,0.72,2017-06-23,1.4084507042253522
24,1002,bluegill,2017-06-23,16.01,zooplankton_unknown,2,below,lavage,lavage,84,119,NA,0,0.001,0,0.01,2017-06-23,1000
25,1002,bluegill,2017-06-23,16.01,coleo_a,2,below,lavage,lavage,84,119,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
26,1002,bluegill,2017-06-23,16.01,chiro_p,2,below,lavage,lavage,84,119,NA,7,0.85,5.95,5.96,2017-06-23,1.1764705882352942
27,1002,bluegill,2017-06-23,16.01,fish_yoy,2,below,lavage,lavage,84,119,NA,0,900,0,0.01,2017-06-23,0.0011111111111111111
28,1002,bluegill,2017-06-23,16.01,ostracod_unknown,2,below,lavage,lavage,84,119,NA,0,0.355,0,0.01,2017-06-23,2.8169014084507045
29,1002,bluegill,2017-06-23,16.01,spider_unknown,2,below,lavage,lavage,84,119,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
30,1002,bluegill,2017-06-23,16.01,copepod_unknown,2,below,lavage,lavage,84,119,NA,0,0.42,0,0.01,2017-06-23,2.380952380952381
31,1002,bluegill,2017-06-23,16.01,collembola_unknown,2,below,lavage,lavage,84,119,NA,0,0.42,0,0.01,2017-06-23,2.380952380952381
32,1002,bluegill,2017-06-23,16.01,hymenoptera_unknown,2,below,lavage,lavage,84,119,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
33,1002,bluegill,2017-06-23,16.01,sciaridae_unknown,2,below,lavage,lavage,84,119,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
34,1002,bluegill,2017-06-23,16.01,seed_unknown,2,below,lavage,lavage,84,119,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
35,1002,bluegill,2017-06-23,16.01,chiro_a,2,below,lavage,lavage,84,119,NA,0,0.99,0,0.01,2017-06-23,1.0101010101010102
36,1002,bluegill,2017-06-23,16.01,coleo_l,2,below,lavage,lavage,84,119,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
37,1003,spotfin,2017-06-23,1.42,coleo_a,3,below,lavage,lavage,61,2,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
38,1003,spotfin,2017-06-23,1.42,ephemeroptera_unknown,3,below,lavage,lavage,61,2,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
39,1003,spotfin,2017-06-23,1.42,seed_unknown,3,below,lavage,lavage,61,2,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
40,1003,spotfin,2017-06-23,1.42,chiro_a,3,below,lavage,lavage,61,2,NA,0,0.99,0,0.01,2017-06-23,1.0101010101010102
41,1003,spotfin,2017-06-23,1.42,sciaridae_unknown,3,below,lavage,lavage,61,2,NA,1,0.71,0.71,0.72,2017-06-23,1.4084507042253522
42,1003,spotfin,2017-06-23,1.42,ostracod_unknown,3,below,lavage,lavage,61,2,NA,0,0.355,0,0.01,2017-06-23,2.8169014084507045
43,1003,spotfin,2017-06-23,1.42,chiro_p,3,below,lavage,lavage,61,2,NA,0,0.85,0,0.01,2017-06-23,1.1764705882352942
44,1003,spotfin,2017-06-23,1.42,coleo_l,3,below,lavage,lavage,61,2,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
45,1003,spotfin,2017-06-23,1.42,zooplankton_unknown,3,below,lavage,lavage,61,2,NA,0,0.001,0,0.01,2017-06-23,1000
46,1003,spotfin,2017-06-23,1.42,hymenoptera_unknown,3,below,lavage,lavage,61,2,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
47,1003,spotfin,2017-06-23,1.42,copepod_unknown,3,below,lavage,lavage,61,2,NA,0,0.42,0,0.01,2017-06-23,2.380952380952381
48,1003,spotfin,2017-06-23,1.42,corixidae_unknown,3,below,lavage,lavage,61,2,NA,0,0.01,0,0.01,2017-06-23,100
49,1003,spotfin,2017-06-23,1.42,fish_yoy,3,below,lavage,lavage,61,2,NA,0,900,0,0.01,2017-06-23,0.0011111111111111111
50,1003,spotfin,2017-06-23,1.42,unidentified_unknown,3,below,lavage,lavage,61,2,NA,1,0.71,0.71,0.72,2017-06-23,1.4084507042253522
51,1003,spotfin,2017-06-23,1.42,spider_unknown,3,below,lavage,lavage,61,2,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
52,1003,spotfin,2017-06-23,1.42,hemiptera_unknown,3,below,lavage,lavage,61,2,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
53,1003,spotfin,2017-06-23,1.42,collembola_unknown,3,below,lavage,lavage,61,2,NA,0,0.42,0,0.01,2017-06-23,2.380952380952381
54,1003,spotfin,2017-06-23,1.42,chiro_l,3,below,lavage,lavage,61,2,NA,0,1.04,0,0.01,2017-06-23,0.9615384615384615
55,1004,bluegill,2017-06-23,7.293,coleo_a,4,below,lavage,lavage,47,11,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
56,1004,bluegill,2017-06-23,7.293,seed_unknown,4,below,lavage,lavage,47,11,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
57,1004,bluegill,2017-06-23,7.293,chiro_p,4,below,lavage,lavage,47,11,NA,0,0.85,0,0.01,2017-06-23,1.1764705882352942
58,1004,bluegill,2017-06-23,7.293,sciaridae_unknown,4,below,lavage,lavage,47,11,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
59,1004,bluegill,2017-06-23,7.293,coleo_l,4,below,lavage,lavage,47,11,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
60,1004,bluegill,2017-06-23,7.293,chiro_a,4,below,lavage,lavage,47,11,NA,0,0.99,0,0.01,2017-06-23,1.0101010101010102
61,1004,bluegill,2017-06-23,7.293,copepod_unknown,4,below,lavage,lavage,47,11,NA,0,0.42,0,0.01,2017-06-23,2.380952380952381
62,1004,bluegill,2017-06-23,7.293,hymenoptera_unknown,4,below,lavage,lavage,47,11,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
63,1004,bluegill,2017-06-23,7.293,corixidae_unknown,4,below,lavage,lavage,47,11,NA,1,0.01,0.01,0.02,2017-06-23,100
64,1004,bluegill,2017-06-23,7.293,collembola_unknown,4,below,lavage,lavage,47,11,NA,0,0.42,0,0.01,2017-06-23,2.380952380952381
65,1004,bluegill,2017-06-23,7.293,hemiptera_unknown,4,below,lavage,lavage,47,11,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
66,1004,bluegill,2017-06-23,7.293,ostracod_unknown,4,below,lavage,lavage,47,11,NA,0,0.355,0,0.01,2017-06-23,2.8169014084507045
67,1004,bluegill,2017-06-23,7.293,unidentified_unknown,4,below,lavage,lavage,47,11,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
68,1004,bluegill,2017-06-23,7.293,ephemeroptera_unknown,4,below,lavage,lavage,47,11,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
69,1004,bluegill,2017-06-23,7.293,zooplankton_unknown,4,below,lavage,lavage,47,11,NA,3,0.001,0.003,0.013000000000000001,2017-06-23,1000
70,1004,bluegill,2017-06-23,7.293,fish_yoy,4,below,lavage,lavage,47,11,NA,0,900,0,0.01,2017-06-23,0.0011111111111111111
71,1004,bluegill,2017-06-23,7.293,spider_unknown,4,below,lavage,lavage,47,11,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
72,1004,bluegill,2017-06-23,7.293,chiro_l,4,below,lavage,lavage,47,11,NA,7,1.04,7.28,7.29,2017-06-23,0.9615384615384615
73,1005,bluegill,2017-06-23,907.321,chiro_p,5,below,lavage,lavage,56,34,NA,0,0.85,0,0.01,2017-06-23,1.1764705882352942
74,1005,bluegill,2017-06-23,907.321,sciaridae_unknown,5,below,lavage,lavage,56,34,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
75,1005,bluegill,2017-06-23,907.321,unidentified_unknown,5,below,lavage,lavage,56,34,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
76,1005,bluegill,2017-06-23,907.321,copepod_unknown,5,below,lavage,lavage,56,34,NA,2,0.42,0.84,0.85,2017-06-23,2.380952380952381
77,1005,bluegill,2017-06-23,907.321,zooplankton_unknown,5,below,lavage,lavage,56,34,NA,1,0.001,0.001,0.011,2017-06-23,1000
78,1005,bluegill,2017-06-23,907.321,seed_unknown,5,below,lavage,lavage,56,34,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
79,1005,bluegill,2017-06-23,907.321,corixidae_unknown,5,below,lavage,lavage,56,34,NA,24,0.01,0.24,0.25,2017-06-23,100
80,1005,bluegill,2017-06-23,907.321,hymenoptera_unknown,5,below,lavage,lavage,56,34,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
81,1005,bluegill,2017-06-23,907.321,ostracod_unknown,5,below,lavage,lavage,56,34,NA,0,0.355,0,0.01,2017-06-23,2.8169014084507045
82,1005,bluegill,2017-06-23,907.321,chiro_a,5,below,lavage,lavage,56,34,NA,0,0.99,0,0.01,2017-06-23,1.0101010101010102
83,1005,bluegill,2017-06-23,907.321,chiro_l,5,below,lavage,lavage,56,34,NA,6,1.04,6.24,6.25,2017-06-23,0.9615384615384615
84,1005,bluegill,2017-06-23,907.321,coleo_a,5,below,lavage,lavage,56,34,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
85,1005,bluegill,2017-06-23,907.321,collembola_unknown,5,below,lavage,lavage,56,34,NA,0,0.42,0,0.01,2017-06-23,2.380952380952381
86,1005,bluegill,2017-06-23,907.321,coleo_l,5,below,lavage,lavage,56,34,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
87,1005,bluegill,2017-06-23,907.321,spider_unknown,5,below,lavage,lavage,56,34,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
88,1005,bluegill,2017-06-23,907.321,fish_yoy,5,below,lavage,lavage,56,34,NA,1,900,900,900.01,2017-06-23,0.0011111111111111111
89,1005,bluegill,2017-06-23,907.321,hemiptera_unknown,5,below,lavage,lavage,56,34,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
90,1005,bluegill,2017-06-23,907.321,ephemeroptera_unknown,5,below,lavage,lavage,56,34,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
91,1006,largemouth,2017-06-23,900.101,seed_unknown,6,NA,lavage,lavage,54,12,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
92,1006,largemouth,2017-06-23,900.101,sciaridae_unknown,6,NA,lavage,lavage,54,12,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
93,1006,largemouth,2017-06-23,900.101,copepod_unknown,6,NA,lavage,lavage,54,12,NA,0,0.42,0,0.01,2017-06-23,2.380952380952381
94,1006,largemouth,2017-06-23,900.101,corixidae_unknown,6,NA,lavage,lavage,54,12,NA,10,0.01,0.1,0.11,2017-06-23,100
95,1006,largemouth,2017-06-23,900.101,fish_yoy,6,NA,lavage,lavage,54,12,NA,1,900,900,900.01,2017-06-23,0.0011111111111111111
96,1006,largemouth,2017-06-23,900.101,zooplankton_unknown,6,NA,lavage,lavage,54,12,NA,1,0.001,0.001,0.011,2017-06-23,1000
97,1006,largemouth,2017-06-23,900.101,chiro_a,6,NA,lavage,lavage,54,12,NA,0,0.99,0,0.01,2017-06-23,1.0101010101010102
98,1006,largemouth,2017-06-23,900.101,chiro_p,6,NA,lavage,lavage,54,12,NA,0,0.85,0,0.01,2017-06-23,1.1764705882352942
99,1006,largemouth,2017-06-23,900.101,collembola_unknown,6,NA,lavage,lavage,54,12,NA,0,0.42,0,0.01,2017-06-23,2.380952380952381
100,1006,largemouth,2017-06-23,900.101,coleo_l,6,NA,lavage,lavage,54,12,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
101,1006,largemouth,2017-06-23,900.101,ostracod_unknown,6,NA,lavage,lavage,54,12,NA,0,0.355,0,0.01,2017-06-23,2.8169014084507045
102,1006,largemouth,2017-06-23,900.101,unidentified_unknown,6,NA,lavage,lavage,54,12,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
103,1006,largemouth,2017-06-23,900.101,hemiptera_unknown,6,NA,lavage,lavage,54,12,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
104,1006,largemouth,2017-06-23,900.101,ephemeroptera_unknown,6,NA,lavage,lavage,54,12,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
105,1006,largemouth,2017-06-23,900.101,hymenoptera_unknown,6,NA,lavage,lavage,54,12,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
106,1006,largemouth,2017-06-23,900.101,coleo_a,6,NA,lavage,lavage,54,12,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
107,1006,largemouth,2017-06-23,900.101,spider_unknown,6,NA,lavage,lavage,54,12,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
108,1006,largemouth,2017-06-23,900.101,chiro_l,6,NA,lavage,lavage,54,12,NA,0,1.04,0,0.01,2017-06-23,0.9615384615384615
109,1007,largemouth,2017-06-23,0.57,corixidae_unknown,7,below,lavage,lavage,47,16,NA,15,0.01,0.15,0.16,2017-06-23,100
110,1007,largemouth,2017-06-23,0.57,unidentified_unknown,7,below,lavage,lavage,47,16,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
111,1007,largemouth,2017-06-23,0.57,chiro_p,7,below,lavage,lavage,47,16,NA,0,0.85,0,0.01,2017-06-23,1.1764705882352942
112,1007,largemouth,2017-06-23,0.57,copepod_unknown,7,below,lavage,lavage,47,16,NA,0,0.42,0,0.01,2017-06-23,2.380952380952381
113,1007,largemouth,2017-06-23,0.57,coleo_l,7,below,lavage,lavage,47,16,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
114,1007,largemouth,2017-06-23,0.57,hymenoptera_unknown,7,below,lavage,lavage,47,16,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
115,1007,largemouth,2017-06-23,0.57,sciaridae_unknown,7,below,lavage,lavage,47,16,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
116,1007,largemouth,2017-06-23,0.57,fish_yoy,7,below,lavage,lavage,47,16,NA,0,900,0,0.01,2017-06-23,0.0011111111111111111
117,1007,largemouth,2017-06-23,0.57,spider_unknown,7,below,lavage,lavage,47,16,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
118,1007,largemouth,2017-06-23,0.57,collembola_unknown,7,below,lavage,lavage,47,16,NA,1,0.42,0.42,0.43,2017-06-23,2.380952380952381
119,1007,largemouth,2017-06-23,0.57,zooplankton_unknown,7,below,lavage,lavage,47,16,NA,0,0.001,0,0.01,2017-06-23,1000
120,1007,largemouth,2017-06-23,0.57,seed_unknown,7,below,lavage,lavage,47,16,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
121,1007,largemouth,2017-06-23,0.57,coleo_a,7,below,lavage,lavage,47,16,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
122,1007,largemouth,2017-06-23,0.57,ostracod_unknown,7,below,lavage,lavage,47,16,NA,0,0.355,0,0.01,2017-06-23,2.8169014084507045
123,1007,largemouth,2017-06-23,0.57,ephemeroptera_unknown,7,below,lavage,lavage,47,16,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
124,1007,largemouth,2017-06-23,0.57,chiro_a,7,below,lavage,lavage,47,16,NA,0,0.99,0,0.01,2017-06-23,1.0101010101010102
125,1007,largemouth,2017-06-23,0.57,hemiptera_unknown,7,below,lavage,lavage,47,16,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
126,1007,largemouth,2017-06-23,0.57,chiro_l,7,below,lavage,lavage,47,16,NA,0,1.04,0,0.01,2017-06-23,0.9615384615384615
127,1008,spotfin,2017-06-23,0.99,chiro_p,8,above,lavage,lavage,64,1,NA,0,0.85,0,0.01,2017-06-23,1.1764705882352942
128,1008,spotfin,2017-06-23,0.99,unidentified_unknown,8,above,lavage,lavage,64,1,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
129,1008,spotfin,2017-06-23,0.99,corixidae_unknown,8,above,lavage,lavage,64,1,NA,0,0.01,0,0.01,2017-06-23,100
130,1008,spotfin,2017-06-23,0.99,hymenoptera_unknown,8,above,lavage,lavage,64,1,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
131,1008,spotfin,2017-06-23,0.99,sciaridae_unknown,8,above,lavage,lavage,64,1,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
132,1008,spotfin,2017-06-23,0.99,collembola_unknown,8,above,lavage,lavage,64,1,NA,0,0.42,0,0.01,2017-06-23,2.380952380952381
133,1008,spotfin,2017-06-23,0.99,copepod_unknown,8,above,lavage,lavage,64,1,NA,0,0.42,0,0.01,2017-06-23,2.380952380952381
134,1008,spotfin,2017-06-23,0.99,coleo_a,8,above,lavage,lavage,64,1,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
135,1008,spotfin,2017-06-23,0.99,chiro_l,8,above,lavage,lavage,64,1,NA,0,1.04,0,0.01,2017-06-23,0.9615384615384615
136,1008,spotfin,2017-06-23,0.99,ostracod_unknown,8,above,lavage,lavage,64,1,NA,0,0.355,0,0.01,2017-06-23,2.8169014084507045
137,1008,spotfin,2017-06-23,0.99,coleo_l,8,above,lavage,lavage,64,1,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
138,1008,spotfin,2017-06-23,0.99,zooplankton_unknown,8,above,lavage,lavage,64,1,NA,0,0.001,0,0.01,2017-06-23,1000
139,1008,spotfin,2017-06-23,0.99,spider_unknown,8,above,lavage,lavage,64,1,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
140,1008,spotfin,2017-06-23,0.99,ephemeroptera_unknown,8,above,lavage,lavage,64,1,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
141,1008,spotfin,2017-06-23,0.99,fish_yoy,8,above,lavage,lavage,64,1,NA,0,900,0,0.01,2017-06-23,0.0011111111111111111
142,1008,spotfin,2017-06-23,0.99,seed_unknown,8,above,lavage,lavage,64,1,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
143,1008,spotfin,2017-06-23,0.99,hemiptera_unknown,8,above,lavage,lavage,64,1,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
144,1008,spotfin,2017-06-23,0.99,chiro_a,8,above,lavage,lavage,64,1,NA,1,0.99,0.99,1,2017-06-23,1.0101010101010102
145,1009,bluegill,2017-06-23,4.09,sciaridae_unknown,9,below,lavage,lavage,55,16,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
146,1009,bluegill,2017-06-23,4.09,fish_yoy,9,below,lavage,lavage,55,16,NA,0,900,0,0.01,2017-06-23,0.0011111111111111111
147,1009,bluegill,2017-06-23,4.09,corixidae_unknown,9,below,lavage,lavage,55,16,NA,12,0.01,0.12,0.13,2017-06-23,100
148,1009,bluegill,2017-06-23,4.09,zooplankton_unknown,9,below,lavage,lavage,55,16,NA,0,0.001,0,0.01,2017-06-23,1000
149,1009,bluegill,2017-06-23,4.09,hymenoptera_unknown,9,below,lavage,lavage,55,16,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
150,1009,bluegill,2017-06-23,4.09,spider_unknown,9,below,lavage,lavage,55,16,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
151,1009,bluegill,2017-06-23,4.09,ostracod_unknown,9,below,lavage,lavage,55,16,NA,0,0.355,0,0.01,2017-06-23,2.8169014084507045
152,1009,bluegill,2017-06-23,4.09,collembola_unknown,9,below,lavage,lavage,55,16,NA,0,0.42,0,0.01,2017-06-23,2.380952380952381
153,1009,bluegill,2017-06-23,4.09,chiro_l,9,below,lavage,lavage,55,16,NA,3,1.04,3.12,3.13,2017-06-23,0.9615384615384615
154,1009,bluegill,2017-06-23,4.09,unidentified_unknown,9,below,lavage,lavage,55,16,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
155,1009,bluegill,2017-06-23,4.09,chiro_p,9,below,lavage,lavage,55,16,NA,1,0.85,0.85,0.86,2017-06-23,1.1764705882352942
156,1009,bluegill,2017-06-23,4.09,ephemeroptera_unknown,9,below,lavage,lavage,55,16,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
157,1009,bluegill,2017-06-23,4.09,copepod_unknown,9,below,lavage,lavage,55,16,NA,0,0.42,0,0.01,2017-06-23,2.380952380952381
158,1009,bluegill,2017-06-23,4.09,coleo_l,9,below,lavage,lavage,55,16,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
159,1009,bluegill,2017-06-23,4.09,hemiptera_unknown,9,below,lavage,lavage,55,16,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
160,1009,bluegill,2017-06-23,4.09,seed_unknown,9,below,lavage,lavage,55,16,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
161,1009,bluegill,2017-06-23,4.09,chiro_a,9,below,lavage,lavage,55,16,NA,0,0.99,0,0.01,2017-06-23,1.0101010101010102
162,1009,bluegill,2017-06-23,4.09,coleo_a,9,below,lavage,lavage,55,16,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
163,1010,bluegill,2017-06-23,7.88,hymenoptera_unknown,10,below,lavage,lavage,73,60,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
164,1010,bluegill,2017-06-23,7.88,corixidae_unknown,10,below,lavage,lavage,73,60,NA,31,0.01,0.31,0.32,2017-06-23,100
165,1010,bluegill,2017-06-23,7.88,sciaridae_unknown,10,below,lavage,lavage,73,60,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
166,1010,bluegill,2017-06-23,7.88,collembola_unknown,10,below,lavage,lavage,73,60,NA,1,0.42,0.42,0.43,2017-06-23,2.380952380952381
167,1010,bluegill,2017-06-23,7.88,coleo_a,10,below,lavage,lavage,73,60,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
168,1010,bluegill,2017-06-23,7.88,hemiptera_unknown,10,below,lavage,lavage,73,60,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
169,1010,bluegill,2017-06-23,7.88,chiro_p,10,below,lavage,lavage,73,60,NA,3,0.85,2.55,2.5599999999999996,2017-06-23,1.1764705882352942
170,1010,bluegill,2017-06-23,7.88,zooplankton_unknown,10,below,lavage,lavage,73,60,NA,20,0.001,0.02,0.03,2017-06-23,1000
171,1010,bluegill,2017-06-23,7.88,chiro_l,10,below,lavage,lavage,73,60,NA,4,1.04,4.16,4.17,2017-06-23,0.9615384615384615
172,1010,bluegill,2017-06-23,7.88,coleo_l,10,below,lavage,lavage,73,60,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
173,1010,bluegill,2017-06-23,7.88,fish_yoy,10,below,lavage,lavage,73,60,NA,0,900,0,0.01,2017-06-23,0.0011111111111111111
174,1010,bluegill,2017-06-23,7.88,chiro_a,10,below,lavage,lavage,73,60,NA,0,0.99,0,0.01,2017-06-23,1.0101010101010102
175,1010,bluegill,2017-06-23,7.88,ephemeroptera_unknown,10,below,lavage,lavage,73,60,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
176,1010,bluegill,2017-06-23,7.88,unidentified_unknown,10,below,lavage,lavage,73,60,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
177,1010,bluegill,2017-06-23,7.88,ostracod_unknown,10,below,lavage,lavage,73,60,NA,0,0.355,0,0.01,2017-06-23,2.8169014084507045
178,1010,bluegill,2017-06-23,7.88,copepod_unknown,10,below,lavage,lavage,73,60,NA,1,0.42,0.42,0.43,2017-06-23,2.380952380952381
179,1010,bluegill,2017-06-23,7.88,seed_unknown,10,below,lavage,lavage,73,60,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
180,1010,bluegill,2017-06-23,7.88,spider_unknown,10,below,lavage,lavage,73,60,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
181,1011,bluegill,2017-06-23,20.851,coleo_a,11,above,gut+lavage,lavage,61,45,NA,0,0.71,0,0.01,2017-06-23,1.4084507042253522
182,1011,bluegill,2017-06-23,20.851,chiro_a,11,above,gut+lavage,lavage,61,45,NA,0,0.99,0,0.01,2017-06-23,1.0101010101010102
