...1,mm,date,cage,location,taxon,trt,trt2,a,b,param_source,param_taxon,mg_dm
67,2.437,6/12/2017,3,below,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.4049143617093191
68,7.409,6/12/2017,2,above,chiro,Cage Control,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,2.320184727841843
69,4.482,6/12/2017,2,above,chiro,Cage Control,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.0539276730295968
70,2.805,6/12/2017,2,above,chiro,Cage Control,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.5049572348268432
71,4.49,6/12/2017,2,above,chiro,Cage Control,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.0568826180768165
72,2.386,6/12/2017,2,above,chiro,Cage Control,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.3916900953981605
73,3.056,6/12/2017,2,above,chiro,Cage Control,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.5776845589488975
74,5.28,6/12/2017,2,above,chiro,Cage Control,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.363123667477433
75,7.932,6/12/2017,2,above,chiro,Cage Control,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,2.582443613604656
76,4.873,6/12/2017,2,above,chiro,Cage Control,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.2018225980792265
77,5.57,6/12/2017,2,above,chiro,Cage Control,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.4824930171460478
78,2.744,6/12/2017,2,above,chiro,Cage Control,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.48782387092690116
79,1.922,6/12/2017,2,above,chiro,Cage Control,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.2789284489482961
80,1.901,6/12/2017,2,above,chiro,Cage Control,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.27415863143140906
81,5.202,6/12/2017,2,above,chiro,Cage Control,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.3316418828326424
82,4.17,6/12/2017,5,above,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.9410519659254547
83,4.804,6/12/2017,5,above,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.1752133277252919
84,5.168,6/12/2017,5,above,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.3180027998299932
85,3.458,6/12/2017,5,above,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.7013829956622769
86,3.776,6/12/2017,5,above,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.805267584904502
87,4.597,6/12/2017,5,above,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.0966927460507185
88,5.375,6/12/2017,5,above,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.4018262743566379
89,5.042,6/12/2017,5,above,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.2679042596647665
90,3.692,6/12/2017,5,above,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.7773218166901735
91,2.864,6/12/2017,9,below,chiro,Cage Control,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.5217321883409279
92,6.58,6/12/2017,9,below,chiro,Cage Control,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.9258153898251855
93,1.477,6/12/2017,9,below,chiro,Cage Control,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.18447069230372704
94,2.354,6/12/2017,9,below,chiro,Cage Control,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.3834741909566924
95,5.938,6/12/2017,9,below,chiro,Cage Control,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.639136432924888
96,3.097,6/12/2017,9,below,chiro,Cage Control,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.5898990440884917
97,3.035,6/12/2017,9,below,chiro,Cage Control,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.5714643619347203
98,4.326,6/12/2017,9,below,chiro,Cage Control,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.9969097160170742
99,2.973,6/12/2017,9,below,chiro,Cage Control,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.5532431016583785
100,4.364,6/12/2017,7,below,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.0106925042942163
101,5.298,6/12/2017,7,below,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.3704265621895775
102,4.98,6/12/2017,7,below,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.2435122506145186
103,6.674,6/12/2017,7,below,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.9691841779764852
104,4.716,6/12/2017,7,below,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.1415918520022463
105,5.158,6/12/2017,7,below,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.3140010139542808
106,5.437,6/12/2017,7,below,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.4272963422194573
107,2.928,6/12/2017,7,below,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.5401527402422559
108,5.373,6/12/2017,7,below,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.4010074338565466
109,2.527,6/12/2017,7,below,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.42863756567003924
110,4.501,6/12/2017,9,above,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.0609505696305017
111,1.904,6/12/2017,9,above,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.2748382041806442
112,1.949,6/12/2017,9,above,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.2851048382719812
113,1.924,6/12/2017,9,above,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.27938427362780666
114,5.675,6/12/2017,9,above,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.5266040471908733
115,4.476,6/12/2017,9,above,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.051713436045631
116,10.58,6/12/2017,9,above,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,4.059219145823806
117,3.371,6/12/2017,9,above,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.6738779429073536
118,2.784,6/12/2017,9,above,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.4990346397452854
119,5.986,6/12/2017,9,above,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.6599868154084019
120,5.174,6/12/2017,9,above,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.3204059913527277
121,2.441,6/12/2017,9,above,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.405958289256689
122,2.879,6/12/2017,7,above,chiro,Ambient,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.5260286685752525
123,4.321,6/12/2017,7,above,chiro,Ambient,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.9951013103268047
124,3.436,6/12/2017,7,above,chiro,Ambient,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.6943899931525219
125,6.892,6/12/2017,7,above,chiro,Ambient,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,2.0711047846837545
126,3.226,6/12/2017,7,above,chiro,Ambient,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.6289310700452276
127,4.877,6/12/2017,7,above,chiro,Ambient,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.2033717898243184
128,5.485,6/12/2017,7,above,chiro,Ambient,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.4471292178167765
129,5.984,6/12/2017,7,above,chiro,Ambient,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.6591161401253356
130,2.704,6/12/2017,7,above,chiro,Ambient,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.47670586922423014
131,2.856,6/12/2017,7,above,chiro,Ambient,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.5194459671621944
132,3.619,6/12/2017,7,above,chiro,Ambient,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.7533279405278218
133,5.116,6/12/2017,4,above,chiro,Ambient,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.2972418210919394
134,4.564,6/12/2017,4,above,chiro,Ambient,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.0843579007258561
135,4.896,6/12/2017,4,above,chiro,Ambient,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.2107403390822926
136,2.702,6/12/2017,4,above,chiro,Ambient,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.47615241476404535
137,5.721,6/12/2017,4,above,chiro,Ambient,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.5460764250601338
138,3.738,6/12/2017,4,above,chiro,Ambient,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.79258107168107494
139,5.656,6/12/2017,4,above,chiro,Ambient,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.5185872849702742
140,3.871,6/12/2017,4,above,chiro,Ambient,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.8373024827511202
141,4.322,6/12/2017,4,above,chiro,Ambient,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.9954628960937435
142,5.587,6/12/2017,4,above,chiro,Ambient,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.4896029168097638
143,5.184,6/12/2017,4,above,chiro,Ambient,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.324414841340625
144,6.916,6/12/2017,4,above,chiro,Ambient,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,2.0824391781981246
145,4.717,6/12/2017,4,above,chiro,Ambient,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.1419719214504223
146,1.682,6/12/2017,4,above,chiro,Ambient,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.22622823467540354
147,5.35,6/12/2017,4,above,chiro,Ambient,ctrl,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.3916032609898243
148,3.533,6/12/2017,1,above,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.7254132948839415
149,2.843,6/12/2017,1,above,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.5157386388369564
150,2.282,6/12/2017,1,above,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.3652208432993666
151,3.665,6/12/2017,1,above,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.76841555378388815
152,5.739,6/12/2017,1,above,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.5537204174896724
153,5.933,6/12/2017,1,above,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.6369700245798802
154,3.109,6/12/2017,1,above,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.5934915413372357
155,3.272,6/12/2017,1,above,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.6430679617296226
156,2.624,6/12/2017,1,above,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.4547505303244627
157,4.895,6/12/2017,5,below,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.2103521136577762
158,4.953,6/12/2017,5,below,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.2329437826285319
159,1.677,6/12/2017,5,below,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.2251733081266951
160,6.531,6/12/2017,5,below,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.9033475766987191
161,4.704,6/12/2017,5,below,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.1370346027040228
162,6.237,6/12/2017,5,below,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.7705651761023375
163,3.363,6/12/2017,5,below,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.6713688416347681
164,2.686,6/12/2017,5,below,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.47173318984588164
165,6.525,6/12/2017,5,below,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.900602998671403
166,3.668,6/12/2017,5,below,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.7694032977084171
167,4.478,6/12/2017,5,below,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.05245132717759
168,3.568,6/12/2017,5,below,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.7367277147378587
169,4.919,6/12/2017,5,below,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.219681991147345
170,5.968,6/12/2017,2,below,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.6521567106387902
171,10.953,6/12/2017,2,below,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,4.286145873753147
172,5.443,6/12/2017,2,below,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.4297700151137005
173,6.249,6/12/2017,2,below,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.7759164241572156
174,6.039,6/12/2017,2,below,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.6831200615227102
175,6.678,6/12/2017,2,below,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.9710374277217946
176,5.905,6/12/2017,2,below,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.6248573754166273
177,4.952,6/12/2017,2,below,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.2325529870799021
178,4.977,6/12/2017,2,below,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.2423363596397976
179,4.738,6/12/2017,2,below,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.1499639832968482
180,4.016,6/12/2017,2,below,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.8870663713975905
181,5.642,6/12/2017,2,below,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.5126900089070034
182,2.208,6/12/2017,2,below,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.346799560498217
183,1.865,6/12/2017,2,below,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.26605153732277576
184,3.356,6/12/2017,2,below,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.6691761668565135
185,5.006,6/12/2017,2,below,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.2537202109241516
186,4.059,6/12/2017,2,below,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.9020236213085338
187,4.351,6/12/2017,3,above,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.0059696093981565
188,4.753,6/12/2017,3,above,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,1.1556849786427135
189,3.499,6/12/2017,3,above,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.7144831477398672
190,4.229,6/12/2017,3,above,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.9620400798253521
191,3.126,6/12/2017,3,above,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.5985944538819833
192,4.313,6/12/2017,3,above,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.9922103416119168
193,1.981,5/23/2017,5,below,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.2924883864101154
194,4.318,5/23/2017,5,below,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.9940168392152562
195,2.626,5/23/2017,5,below,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.45529482407881083
196,3.683,5/23/2017,5,above,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.7743489229129681
197,1.254,5/23/2017,5,above,chiro,Exclusion,exc,0.1,1.57,Sabo et al. 2002 (Table 2),Nematocera,0.1426681836986544
