"","id","loc","sample","method","date","species","length_mm","corixid","chiro_l","chiro_p","chiro_a","chiro_tot","mayfly","zoop","copepod","springtail","unk_ins","unk_adult_ins","spider","sciaridae","fish_yoy","seed","coleo_ad","coleo_l","terr_hymen","terr_hemip","ostracod","total","notes"
"44",1044,"above","foregut","dissection","6/13/2017","spotfin",47,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,NA
"45",1045,"above","foregut","dissection","6/13/2017","bluegill",63,11,53,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,NA
"46",1046,"above","foregut","dissection","6/13/2017","spotfin",61,0,1,0,0,1,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,42,NA
"47",1047,"above","foregut","dissection","6/13/2017","quillback",97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"amorphous_detritus"
"48",1048,"above","foregut","dissection","6/13/2017","spotfin",54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"49",1049,"above","foregut","dissection","6/13/2017","bluegill",68,28,17,4,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,NA
"50",1050,"above","foregut","dissection","6/13/2017","bluegill",59,47,12,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,NA
"51",1051,"above","foregut","dissection","6/13/2017","largemouth",31,10,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,NA
"52",1052,"above","foregut","dissection","6/13/2017","spotfin",57,0,22,5,0,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,56,NA
"53",1053,"above","foregut","dissection","6/13/2017","largemouth",31,17,5,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,28,NA
"54",1054,"above","foregut","dissection","6/13/2017","spotfin",44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,NA
"55",1055,"above","foregut","dissection","6/13/2017","spotfin",49,26,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,NA
"56",1056,"above","foregut","dissection","6/13/2017","bluegill",49,9,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,NA
"57",1057,"above","foregut","dissection","6/13/2017","spotfin",46,13,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,NA
"58",1058,"above","foregut","dissection","6/13/2017","spotfin",44,0,1,0,0,1,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,198,NA
"59",1059,"above","foregut","dissection","6/13/2017","largemouth",36,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,NA
"60",1060,"above","whole_gut","dissection","6/13/2017","river_shiner",49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,0,8,NA
"61",1061,"above","whole_gut","dissection","6/13/2017","river_shiner",41,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,5,NA
"62",1062,"above","foregut","dissection","6/13/2017","river_shiner",46,14,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,18,NA
"63",1063,"above","foregut","dissection","6/13/2017","largemouth",35,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,NA
"64",1064,"above","foregut","dissection","6/13/2017","river_shiner",49,8,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,NA
"65",1065,"above","foregut","dissection","6/13/2017","river_shiner",46,4,12,2,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,20,NA
"66",1066,"above","foregut","dissection","6/13/2017","river_shiner",48,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,NA
"67",1067,"above","foregut","dissection","6/13/2017","largemouth",35,8,4,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,NA
"68",1068,"above","foregut","dissection","6/13/2017","largemouth",32,15,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,NA
"69",1069,"below","whole_gut","dissection","6/23/2017","spotfin",60,2,3,10,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,NA
"70",1070,"below","whole_gut","dissection","6/23/2017","spotfin",48,4,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,"amorphous_detritus"
"71",1071,"below","whole_gut","dissection","6/23/2017","river_shiner",42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"72",1072,"above","whole_gut","dissection","6/23/2017","spotfin",52,4,3,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,NA
"73",1073,"above","whole_gut","dissection","6/23/2017","spotfin",57,0,5,2,1,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17,NA
